StationAbbOld,GroupedStn,rkms
BCE,BCN,106.4
BCW2,BCS,105.9
KLRC_North,KLRCN,166.7
KLRCN,KLRC,166.7
BCE2,BCS,105.9
BC2_joint,BCS,105.9
BCW,BCN,106.4
BC_joint,BCN,106.4
Rstr_joint,YBRSTR,121
Willow_slough,NA,142
PutahCrk_AbvChk,YBACD,142.1
I80_2,NA,146.4
I80_3,NA,146.4
I80_4,NA,146.4
I80_5,NA,146.4
I80_6,NA,146.4
I80_7,NA,146.4
PutahCrk_mace,NA,150.33
PutahCrk_spawn,PCSG,160.45
Abv_rstr,YBRSTR,121.04
Abv_swanston,YBAAG4,148.4
Abv_lisbon,YBALW,136.1
Wallace_weir,YBAWW,165.6
Swanston,YBBAG4,148
Putah_creek,YBBCD,141.9
Levee_marker,YBBI80,143.5
NA,YBBLR,127
Lisbon,YBBLW,135.4
Base_TD,YBBTD,113.9
YBBWW,YBBWW,165
TulePond,YBTP,170
DeepPond,YBDP,171.4
Greenlake,YBGL,147.5
I80_1,YBI80B,146.4
Knaggs,YBKR,161
Cache_creek,YBR22,159.3
RSTR,YBRSTR,121.01
ColusaDrain,CBD,176.1